CIK,Filename,Initials,Notes
20290,edgar/data/20290/0001326160-19-000057.txt,KL,
1581552,edgar/data/1581552/0001185185-22-000284.txt,KL,
866829,edgar/data/866829/0000866829-12-000009.txt,KL,
1361937,edgar/data/1361937/0001144204-14-012672.txt,KL,
721693,edgar/data/721693/0001213900-19-005898.txt,KL,
1445146,edgar/data/1445146/0001445146-16-000019.txt,KL,
# 700997,edgar/data/700997/0000950134-96-000227.txt,KL,
1040736,edgar/data/1040736/0001040736-05-000005.txt,KL,
315189,edgar/data/315189/0000940180-02-001741.txt,KL,
# 6314,edgar/data/6314/0000891092-07-004187.txt,KL,
1069157,edgar/data/1069157/0001047469-04-007313.txt,KL,
1436161,edgar/data/1436161/0001553350-15-000363.txt,KL,
1047098,edgar/data/1047098/0001193125-04-161613.txt,KL,
# 842635,edgar/data/842635/0000899243-98-000530.txt,KL,
29644,edgar/data/29644/0000897101-11-000318.txt,KL,
804269,edgar/data/804269/0001193125-06-188013.txt,KL,
46738,edgar/data/46738/0000950131-01-001406.txt,KL,
99780,edgar/data/99780/0000099780-20-000025.txt,KL,
822662,edgar/data/822662/0000822662-18-000021.txt,KL,
108516,edgar/data/108516/0001564590-19-027053.txt,KL,
1430306,edgar/data/1430306/0001387131-20-003189.txt,KL,
# 909413,edgar/data/909413/0000950129-99-001323.txt,KL,
# 725058,edgar/data/725058/0000950109-97-002390.txt,KL,
1668370,edgar/data/1668370/0001575872-22-000280.txt,KL,
1035688,edgar/data/1035688/0000950123-10-025544.txt,KL,
865911,edgar/data/865911/0000891554-01-501498.txt,KL,
790708,edgar/data/790708/0000950168-03-001327.txt,KL,
881665,edgar/data/881665/0001193125-07-062920.txt,KL,
1440799,edgar/data/1440799/0001144204-11-045638.txt,KL,
# 32604,edgar/data/32604/0000032604-97-000015.txt,KL,
1421517,edgar/data/1421517/0000950123-10-024776.txt,KL,
1032208,edgar/data/1032208/0000086521-16-000091.txt,KL,
936340,edgar/data/936340/0000950123-11-015771.txt,KL,
728385,edgar/data/728385/0001477932-16-009335.txt,KL,
731802,edgar/data/731802/0000731802-19-000037.txt,KL,
30371,edgar/data/30371/0001326160-17-000016.txt,KL,
1623360,edgar/data/1623360/0001640334-18-002417.txt,KL,
# 57183,edgar/data/57183/0001068800-04-000659.txt,KL,
43350,edgar/data/43350/0001144204-17-014878.txt,KL,
# 319019,edgar/data/319019/0000319019-96-000013.txt,KL,
726435,edgar/data/726435/0001406774-11-000031.txt,KL,
811156,edgar/data/811156/0001047469-13-001373.txt,KL,
1368802,edgar/data/1368802/0001144204-07-014837.txt,KL,
1273441,edgar/data/1273441/0001273441-13-000012.txt,KL,
# 1135338,edgar/data/1135338/0000950116-05-001941.txt,KL,
1375063,edgar/data/1375063/0001144204-14-055659.txt,KL,
103682,edgar/data/103682/0001193125-05-038710.txt,KL,
1081316,edgar/data/1081316/0001081316-14-000006.txt,KL,
54507,edgar/data/54507/0000054507-18-000012.txt,KL,
1130310,edgar/data/1130310/0001130310-16-000031.txt,KL,
884504,edgar/data/884504/0001144204-10-017335.txt,KL,
1555177,edgar/data/1555177/0001555177-17-000011.txt,KL,
1142129,edgar/data/1142129/0001493152-17-005793.txt,KL,
# 1059025,edgar/data/1059025/0000934665-99-000002.txt,KL,
318996,edgar/data/318996/0000318996-18-000007.txt,KL,
350563,edgar/data/350563/0001193125-12-078254.txt,KL,
